37	0	0	nan
38	2	2	1.000000
9	4	6	0.666667
23	2	2	1.000000
27	0	2	0.000000
32	0	0	nan
28	0	0	nan
10	6	6	1.000000
30	2	2	1.000000
47	0	0	nan
17	0	0	nan
14	4	5	0.800000
19	2	2	1.000000
48	0	0	nan
46	2	2	1.000000
16	0	0	nan
15	4	5	0.800000
44	0	0	nan
43	2	2	1.000000
34	2	2	1.000000
24	0	0	nan
22	1	2	0.500000
7	6	6	1.000000
49	0	0	nan
33	0	0	nan
25	0	0	nan
20	0	0	nan
36	0	0	nan
31	1	2	0.500000
11	6	6	1.000000
8	3	6	0.500000
39	0	2	0.000000
35	2	2	1.000000
12	0	0	nan
21	0	0	nan
41	0	0	nan
13	0	0	nan
40	0	0	nan
26	1	2	0.500000
45	0	0	nan
42	2	2	1.000000
29	0	0	nan
18	2	2	1.000000
13	0	0	nan
22	2	2	1.000000
38	1	2	0.500000
27	2	2	1.000000
21	0	0	nan
31	2	2	1.000000
14	4	5	0.800000
49	0	0	nan
32	0	0	nan
48	0	0	nan
23	0	2	0.000000
7	5	6	0.833333
9	3	6	0.500000
46	2	2	1.000000
36	0	0	nan
18	2	2	1.000000
30	1	2	0.500000
47	0	0	nan
12	0	0	nan
33	0	0	nan
44	0	0	nan
39	2	2	1.000000
41	0	0	nan
37	0	0	nan
26	2	2	1.000000
28	0	0	nan
20	0	0	nan
25	0	0	nan
34	2	2	1.000000
45	0	0	nan
11	4	6	0.666667
35	1	2	0.500000
8	4	6	0.666667
15	3	5	0.600000
43	2	2	1.000000
42	2	2	1.000000
29	0	0	nan
17	0	0	nan
24	0	0	nan
40	0	0	nan
16	0	0	nan
10	6	6	1.000000
19	2	2	1.000000
10	4	6	0.666667
9	5	6	0.833333
19	2	2	1.000000
40	0	0	nan
41	0	0	nan
42	2	2	1.000000
45	0	0	nan
16	0	0	nan
34	2	2	1.000000
11	6	6	1.000000
13	0	0	nan
30	2	2	1.000000
7	6	6	1.000000
39	2	2	1.000000
12	0	0	nan
25	0	0	nan
8	3	6	0.500000
21	0	0	nan
27	2	2	1.000000
26	2	2	1.000000
32	0	0	nan
20	0	0	nan
28	0	0	nan
49	0	0	nan
36	0	0	nan
38	2	2	1.000000
18	1	2	0.500000
47	0	0	nan
33	0	0	nan
37	0	0	nan
14	2	5	0.400000
15	3	5	0.600000
48	0	0	nan
46	2	2	1.000000
44	0	0	nan
31	2	2	1.000000
23	2	2	1.000000
29	0	0	nan
22	1	2	0.500000
24	0	0	nan
35	1	2	0.500000
43	2	2	1.000000
17	0	0	nan
26	1	2	0.500000
36	0	0	nan
15	5	5	1.000000
17	0	0	nan
21	0	0	nan
12	0	0	nan
18	2	2	1.000000
27	2	2	1.000000
33	0	0	nan
29	0	0	nan
13	0	0	nan
22	2	2	1.000000
28	0	0	nan
23	2	2	1.000000
9	5	6	0.833333
37	0	0	nan
32	0	0	nan
48	0	0	nan
11	4	6	0.666667
